country;date;confirmed;deaths;recovered
Afghanistan;2020-1-22;0;0;0
Afghanistan;2020-1-23;0;0;0
Afghanistan;2020-1-24;0;0;0
Afghanistan;2020-1-25;0;0;0
Afghanistan;2020-1-26;0;0;0
Afghanistan;2020-1-27;0;0;0
Afghanistan;2020-1-28;0;0;0
Afghanistan;2020-1-29;0;0;0
Afghanistan;2020-1-30;0;0;0
Afghanistan;2020-1-31;0;0;0
Afghanistan;2020-2-1;0;0;0
Afghanistan;2020-2-2;0;0;0
Afghanistan;2020-2-3;0;0;0
Afghanistan;2020-2-4;0;0;0
Afghanistan;2020-2-5;0;0;0
Afghanistan;2020-2-6;0;0;0
Afghanistan;2020-2-7;0;0;0
Afghanistan;2020-2-8;0;0;0
Afghanistan;2020-2-9;0;0;0
Afghanistan;2020-2-10;0;0;0
Afghanistan;2020-2-11;0;0;0
Afghanistan;2020-2-12;0;0;0
Afghanistan;2020-2-13;0;0;0
Afghanistan;2020-2-14;0;0;0
Afghanistan;2020-2-15;0;0;0
Afghanistan;2020-2-16;0;0;0
Afghanistan;2020-2-17;0;0;0
Afghanistan;2020-2-18;0;0;0
Afghanistan;2020-2-19;0;0;0
Afghanistan;2020-2-20;0;0;0
Afghanistan;2020-2-21;0;0;0
Afghanistan;2020-2-22;0;0;0
Afghanistan;2020-2-23;0;0;0
Afghanistan;2020-2-24;1;0;0
Afghanistan;2020-2-25;1;0;0
Afghanistan;2020-2-26;1;0;0
Afghanistan;2020-2-27;1;0;0
Afghanistan;2020-2-28;1;0;0
Afghanistan;2020-2-29;1;0;0
Afghanistan;2020-3-1;1;0;0
Afghanistan;2020-3-2;1;0;0
Afghanistan;2020-3-3;1;0;0
Afghanistan;2020-3-4;1;0;0
Afghanistan;2020-3-5;1;0;0
Afghanistan;2020-3-6;1;0;0
Afghanistan;2020-3-7;1;0;0
Afghanistan;2020-3-8;4;0;0
Afghanistan;2020-3-9;4;0;0
Afghanistan;2020-3-10;5;0;0
Afghanistan;2020-3-11;7;0;0
Afghanistan;2020-3-12;7;0;0
Afghanistan;2020-3-13;7;0;0
Afghanistan;2020-3-14;11;0;0
Afghanistan;2020-3-15;16;0;0
Afghanistan;2020-3-16;21;0;1
Afghanistan;2020-3-17;22;0;1
Afghanistan;2020-3-18;22;0;1
Afghanistan;2020-3-19;22;0;1
Afghanistan;2020-3-20;24;0;1
Afghanistan;2020-3-21;24;0;1
Afghanistan;2020-3-22;40;1;1
Afghanistan;2020-3-23;40;1;1
Afghanistan;2020-3-24;74;1;1
Afghanistan;2020-3-25;84;2;2
Afghanistan;2020-3-26;94;4;2
Afghanistan;2020-3-27;110;4;2
Afghanistan;2020-3-28;110;4;2
Afghanistan;2020-3-29;120;4;2
Afghanistan;2020-3-30;170;4;2
Afghanistan;2020-3-31;174;4;5
Afghanistan;2020-4-1;237;4;5
Afghanistan;2020-4-2;273;6;10
Afghanistan;2020-4-3;281;6;10
Afghanistan;2020-4-4;299;7;10
Afghanistan;2020-4-5;349;7;15
Afghanistan;2020-4-6;367;11;18
Afghanistan;2020-4-7;423;14;18
Afghanistan;2020-4-8;444;14;29
Afghanistan;2020-4-9;484;15;32
Afghanistan;2020-4-10;521;15;32
Afghanistan;2020-4-11;555;18;32
Afghanistan;2020-4-12;607;18;32
Afghanistan;2020-4-13;665;21;32
Afghanistan;2020-4-14;714;23;40
Afghanistan;2020-4-15;784;25;43
Afghanistan;2020-4-16;840;30;54
Afghanistan;2020-4-17;906;30;99
Afghanistan;2020-4-18;933;30;112
Afghanistan;2020-4-19;996;33;131
Afghanistan;2020-4-20;1026;36;135
Afghanistan;2020-4-21;1092;36;150
Afghanistan;2020-4-22;1176;40;166
Afghanistan;2020-4-23;1279;42;179
Afghanistan;2020-4-24;1351;43;188
Albania;2020-1-22;0;0;0
Albania;2020-1-23;0;0;0
Albania;2020-1-24;0;0;0
Albania;2020-1-25;0;0;0
Albania;2020-1-26;0;0;0
Albania;2020-1-27;0;0;0
Albania;2020-1-28;0;0;0
Albania;2020-1-29;0;0;0
Albania;2020-1-30;0;0;0
Albania;2020-1-31;0;0;0
Albania;2020-2-1;0;0;0
Albania;2020-2-2;0;0;0
Albania;2020-2-3;0;0;0
Albania;2020-2-4;0;0;0
Albania;2020-2-5;0;0;0
Albania;2020-2-6;0;0;0
Albania;2020-2-7;0;0;0
Albania;2020-2-8;0;0;0
Albania;2020-2-9;0;0;0
Albania;2020-2-10;0;0;0
Albania;2020-2-11;0;0;0
Albania;2020-2-12;0;0;0
Albania;2020-2-13;0;0;0
Albania;2020-2-14;0;0;0
Albania;2020-2-15;0;0;0
Albania;2020-2-16;0;0;0
Albania;2020-2-17;0;0;0
Albania;2020-2-18;0;0;0
Albania;2020-2-19;0;0;0
Albania;2020-2-20;0;0;0
Albania;2020-2-21;0;0;0
Albania;2020-2-22;0;0;0
Albania;2020-2-23;0;0;0
Albania;2020-2-24;0;0;0
Albania;2020-2-25;0;0;0
Albania;2020-2-26;0;0;0
Albania;2020-2-27;0;0;0
Albania;2020-2-28;0;0;0
Albania;2020-2-29;0;0;0
Albania;2020-3-1;0;0;0
Albania;2020-3-2;0;0;0
Albania;2020-3-3;0;0;0
Albania;2020-3-4;0;0;0
Albania;2020-3-5;0;0;0
Albania;2020-3-6;0;0;0
Albania;2020-3-7;0;0;0
Albania;2020-3-8;0;0;0
Albania;2020-3-9;2;0;0
Albania;2020-3-10;10;0;0
Albania;2020-3-11;12;1;0
Albania;2020-3-12;23;1;0
Albania;2020-3-13;33;1;0
Albania;2020-3-14;38;1;0
Albania;2020-3-15;42;1;0
Albania;2020-3-16;51;1;0
Albania;2020-3-17;55;1;0
Albania;2020-3-18;59;2;0
Albania;2020-3-19;64;2;0
Albania;2020-3-20;70;2;0
Albania;2020-3-21;76;2;2
Albania;2020-3-22;89;2;2
Albania;2020-3-23;104;4;2
Albania;2020-3-24;123;5;10
Albania;2020-3-25;146;5;17
Albania;2020-3-26;174;6;17
Albania;2020-3-27;186;8;31
Albania;2020-3-28;197;10;31
Albania;2020-3-29;212;10;33
Albania;2020-3-30;223;11;44
Albania;2020-3-31;243;15;52
Albania;2020-4-1;259;15;67
Albania;2020-4-2;277;16;76
Albania;2020-4-3;304;17;89
Albania;2020-4-4;333;20;99
Albania;2020-4-5;361;20;104
Albania;2020-4-6;377;21;116
Albania;2020-4-7;383;22;131
Albania;2020-4-8;400;22;154
Albania;2020-4-9;409;23;165
Albania;2020-4-10;416;23;182
Albania;2020-4-11;433;23;197
Albania;2020-4-12;446;23;217
Albania;2020-4-13;467;23;232
Albania;2020-4-14;475;24;248
Albania;2020-4-15;494;25;251
Albania;2020-4-16;518;26;277
Albania;2020-4-17;539;26;283
Albania;2020-4-18;548;26;302
Albania;2020-4-19;562;26;314
Albania;2020-4-20;584;26;327
Albania;2020-4-21;609;26;345
Albania;2020-4-22;634;27;356
Albania;2020-4-23;663;27;385
Albania;2020-4-24;678;27;394
Algeria;2020-1-22;0;0;0
Algeria;2020-1-23;0;0;0
Algeria;2020-1-24;0;0;0
Algeria;2020-1-25;0;0;0
Algeria;2020-1-26;0;0;0
Algeria;2020-1-27;0;0;0
Algeria;2020-1-28;0;0;0
Algeria;2020-1-29;0;0;0
Algeria;2020-1-30;0;0;0
Algeria;2020-1-31;0;0;0
Algeria;2020-2-1;0;0;0
Algeria;2020-2-2;0;0;0
Algeria;2020-2-3;0;0;0
Algeria;2020-2-4;0;0;0
Algeria;2020-2-5;0;0;0
Algeria;2020-2-6;0;0;0
Algeria;2020-2-7;0;0;0
Algeria;2020-2-8;0;0;0
Algeria;2020-2-9;0;0;0
Algeria;2020-2-10;0;0;0
Algeria;2020-2-11;0;0;0
Algeria;2020-2-12;0;0;0
Algeria;2020-2-13;0;0;0
Algeria;2020-2-14;0;0;0
Algeria;2020-2-15;0;0;0
Algeria;2020-2-16;0;0;0
Algeria;2020-2-17;0;0;0
Algeria;2020-2-18;0;0;0
Algeria;2020-2-19;0;0;0
Algeria;2020-2-20;0;0;0
Algeria;2020-2-21;0;0;0
Algeria;2020-2-22;0;0;0
Algeria;2020-2-23;0;0;0
Algeria;2020-2-24;0;0;0
Algeria;2020-2-25;1;0;0
Algeria;2020-2-26;1;0;0
Algeria;2020-2-27;1;0;0
